HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
0,0.7091409532087498,0.7087931034482758,0.7084913085697144,11.881555310885112,0.675
1,0.7729679047962495,0.7730566919929865,0.7726485498489643,21.392752055327097,0.6625
2,0.7936582539273758,0.7937116956077631,0.793297215664142,31.834434735774995,0.6625
3,0.8231259881646112,0.823073301463132,0.8227297321549953,41.17499013741811,0.6625
4,0.845578231292517,0.845578231292517,0.8450592451646983,49.26256561279297,0.68125
5,0.836455909830631,0.8364374678993322,0.8359704609889185,58.21599942445755,0.65
6,0.8501032216966108,0.8500816954771488,0.8497861967532353,65.96448403596878,0.63125
7,0.8630990119157982,0.8630968265416517,0.8627515439421026,74.73789403835933,0.66875
8,0.8688554848084025,0.8688350485991995,0.8685953937953057,89.07681060234705,0.68125
9,0.870748299319728,0.870748299319728,0.8707418139350862,89.23408584594726,0.69375
10,0.8741457688588297,0.8741471734892787,0.8737034817737858,90.90705646276474,0.61875
11,0.8942725409218946,0.8942827710533093,0.8942092529921014,96.96619774897893,0.65625
12,0.898091778837758,0.8980896203846733,0.8980952239295487,105.68333497444789,0.63125
