Sample,Time(S),CH1(V)
0,-0.8192,0.415668
1,-0.8191,0.415668
2,-0.819,0.415668
3,-0.8189,0.415668
4,-0.8188,0.415668
5,-0.8187,0.415668
6,-0.8186,0.415668
7,-0.8185,0.415668
8,-0.8184,0.415668
9,-0.8183,0.415668
10,-0.8182,0.415668
11,-0.8181,0.415668
12,-0.818,0.415668
13,-0.8179,0.415668
14,-0.8178,0.415668
15,-0.8177,0.415668
16,-0.8176,0.415668
17,-0.8175,0.415668
18,-0.8174,0.415668
19,-0.8173,0.415668
20,-0.8172,0.415668
21,-0.8171,0.415668
22,-0.817,0.415668
23,-0.8169,0.415668
24,-0.8168,0.415668
25,-0.8167,0.415668
26,-0.8166,0.415668
27,-0.8165,0.415668
28,-0.8164,0.415668
29,-0.8163,0.415668
30,-0.8162,0.415668
31,-0.8161,0.415668
32,-0.816,0.415668
33,-0.8159,0.415668
34,-0.8158,0.415668
35,-0.8157,0.415668
36,-0.8156,0.415668
37,-0.8155,0.415668
38,-0.8154,0.415668
39,-0.8153,0.415668
40,-0.8152,0.415668
41,-0.8151,0.415668
42,-0.815,0.415668
43,-0.8149,0.415668
44,-0.8148,0.415668
45,-0.8147,0.415668
46,-0.8146,0.415668
47,-0.8145,0.415668
48,-0.8144,0.415668
49,-0.8143,0.415668
50,-0.8142,0.415668
51,-0.8141,0.415668
52,-0.814,0.415668
53,-0.8139,0.415668
54,-0.8138,0.415668
55,-0.8137,0.415668
56,-0.8136,0.415668
57,-0.8135,0.415668
58,-0.8134,0.415668
59,-0.8133,0.415668
60,-0.8132,0.415668
61,-0.8131,0.415668
62,-0.813,0.415668
63,-0.8129,0.415668
64,-0.8128,0.415668
65,-0.8127,0.415668
66,-0.8126,0.415668
67,-0.8125,0.415668
68,-0.8124,0.415668
69,-0.8123,0.415668
70,-0.8122,0.415668
71,-0.8121,0.415668
72,-0.812,0.415668
73,-0.8119,0.415668
74,-0.8118,0.415668
75,-0.8117,0.415668
76,-0.8116,0.415668
77,-0.8115,0.417324
78,-0.8114,0.417324
79,-0.8113,0.417324
80,-0.8112,0.417324
81,-0.8111,0.417324
82,-0.811,0.417324
83,-0.8109,0.417324
84,-0.8108,0.417324
85,-0.8107,0.417324
86,-0.8106,0.415668
87,-0.8105,0.415668
88,-0.8104,0.415668
89,-0.8103,0.415668
90,-0.8102,0.415668
91,-0.8101,0.415668
92,-0.81,0.415668
93,-0.8099,0.415668
94,-0.8098,0.415668
95,-0.8097,0.415668
96,-0.8096,0.414012
97,-0.8095,0.414012
98,-0.8094,0.414012
99,-0.8093,0.414012
100,-0.8092,0.414012
101,-0.8091,0.415668
102,-0.809,0.415668
103,-0.8089,0.415668
104,-0.8088,0.415668
105,-0.8087,0.415668
106,-0.8086,0.415668
107,-0.8085,0.415668
108,-0.8084,0.415668
109,-0.8083,0.415668
110,-0.8082,0.415668
111,-0.8081,0.415668
112,-0.808,0.415668
113,-0.8079,0.415668
114,-0.8078,0.415668
115,-0.8077,0.415668
116,-0.8076,0.415668
117,-0.8075,0.415668
118,-0.8074,0.415668
119,-0.8073,0.415668
120,-0.8072,0.415668
121,-0.8071,0.415668
122,-0.807,0.415668
123,-0.8069,0.415668
124,-0.8068,0.415668
125,-0.8067,0.415668
126,-0.8066,0.415668
127,-0.8065,0.415668
128,-0.8064,0.415668
129,-0.8063,0.415668
130,-0.8062,0.415668
131,-0.8061,0.415668
132,-0.806,0.415668
133,-0.8059,0.415668
134,-0.8058,0.415668
135,-0.8057,0.415668
136,-0.8056,0.415668
137,-0.8055,0.415668
138,-0.8054,0.415668
139,-0.8053,0.415668
140,-0.8052,0.415668
141,-0.8051,0.415668
142,-0.805,0.415668
143,-0.8049,0.415668
144,-0.8048,0.415668
145,-0.8047,0.415668
146,-0.8046,0.415668
147,-0.8045,0.415668
148,-0.8044,0.415668
149,-0.8043,0.415668
150,-0.8042,0.415668
151,-0.8041,0.415668
152,-0.804,0.415668
153,-0.8039,0.415668
154,-0.8038,0.415668
155,-0.8037,0.415668
156,-0.8036,0.415668
157,-0.8035,0.415668
158,-0.8034,0.415668
159,-0.8033,0.415668
160,-0.8032,0.415668
161,-0.8031,0.415668
162,-0.803,0.415668
163,-0.8029,0.415668
164,-0.8028,0.415668
165,-0.8027,0.415668
166,-0.8026,0.415668
167,-0.8025,0.415668
168,-0.8024,0.415668
169,-0.8023,0.415668
170,-0.8022,0.415668
171,-0.8021,0.415668
172,-0.802,0.415668
173,-0.8019,0.415668
174,-0.8018,0.415668
175,-0.8017,0.415668
176,-0.8016,0.415668
177,-0.8015,0.415668
178,-0.8014,0.415668
179,-0.8013,0.415668
180,-0.8012,0.415668
181,-0.8011,0.415668
182,-0.801,0.415668
183,-0.8009,0.415668
184,-0.8008,0.415668
185,-0.8007,0.415668
186,-0.8006,0.415668
187,-0.8005,0.415668
188,-0.8004,0.415668
189,-0.8003,0.415668
190,-0.8002,0.415668
191,-0.8001,0.415668
192,-0.8,0.415668
193,-0.7999,0.415668
194,-0.7998,0.415668
195,-0.7997,0.415668
196,-0.7996,0.415668
197,-0.7995,0.415668
198,-0.7994,0.415668
199,-0.7993,0.415668
200,-0.7992,0.415668
201,-0.7991,0.415668
202,-0.799,0.415668
203,-0.7989,0.415668
204,-0.7988,0.415668
205,-0.7987,0.415668
206,-0.7986,0.415668
207,-0.7985,0.415668
208,-0.7984,0.415668
209,-0.7983,0.415668
210,-0.7982,0.415668
211,-0.7981,0.415668
212,-0.798,0.415668
213,-0.7979,0.415668
214,-0.7978,0.415668
215,-0.7977,0.415668
216,-0.7976,0.415668
217,-0.7975,0.415668
218,-0.7974,0.415668
219,-0.7973,0.415668
220,-0.7972,0.415668
221,-0.7971,0.415668
222,-0.797,0.415668
223,-0.7969,0.415668
224,-0.7968,0.415668
225,-0.7967,0.415668
226,-0.7966,0.415668
227,-0.7965,0.415668
228,-0.7964,0.415668
229,-0.7963,0.415668
230,-0.7962,0.415668
231,-0.7961,0.415668
232,-0.796,0.415668
233,-0.7959,0.415668
234,-0.7958,0.415668
235,-0.7957,0.415668
236,-0.7956,0.415668
237,-0.7955,0.415668
238,-0.7954,0.415668
239,-0.7953,0.414012
240,-0.7952,0.417324
241,-0.7951,0.417324
242,-0.795,0.417324
243,-0.7949,0.417324
244,-0.7948,0.417324
245,-0.7947,0.417324
246,-0.7946,0.415668
247,-0.7945,0.415668
248,-0.7944,0.415668
249,-0.7943,0.415668
250,-0.7942,0.415668
251,-0.7941,0.415668
252,-0.794,0.415668
253,-0.7939,0.415668
254,-0.7938,0.415668
255,-0.7937,0.415668
256,-0.7936,0.415668
257,-0.7935,0.415668
258,-0.7934,0.415668
259,-0.7933,0.415668
260,-0.7932,0.415668
261,-0.7931,0.415668
262,-0.793,0.415668
263,-0.7929,0.415668
264,-0.7928,0.415668
265,-0.7927,0.415668
266,-0.7926,0.415668
267,-0.7925,0.415668
268,-0.7924,0.415668
269,-0.7923,0.415668
270,-0.7922,0.415668
271,-0.7921,0.415668
272,-0.792,0.415668
273,-0.7919,0.415668
274,-0.7918,0.415668
275,-0.7917,0.415668
276,-0.7916,0.415668
277,-0.7915,0.415668
278,-0.7914,0.414012
279,-0.7913,0.417324
280,-0.7912,0.417324
281,-0.7911,0.417324
282,-0.791,0.417324
283,-0.7909,0.417324
284,-0.7908,0.417324
285,-0.7907,0.417324
286,-0.7906,0.417324
287,-0.7905,0.415668
288,-0.7904,0.415668
289,-0.7903,0.415668
290,-0.7902,0.415668
291,-0.7901,0.415668
292,-0.79,0.415668
293,-0.7899,0.415668
294,-0.7898,0.415668
295,-0.7897,0.415668
296,-0.7896,0.415668
297,-0.7895,0.415668
298,-0.7894,0.415668
299,-0.7893,0.415668
300,-0.7892,0.415668
301,-0.7891,0.415668
302,-0.789,0.415668
303,-0.7889,0.415668
304,-0.7888,0.415668
305,-0.7887,0.415668
306,-0.7886,0.415668
307,-0.7885,0.415668
308,-0.7884,0.415668
309,-0.7883,0.415668
310,-0.7882,0.415668
311,-0.7881,0.415668
312,-0.788,0.415668
313,-0.7879,0.415668
314,-0.7878,0.415668
315,-0.7877,0.414012
316,-0.7876,0.417324
317,-0.7875,0.417324
318,-0.7874,0.417324
319,-0.7873,0.417324
320,-0.7872,0.417324
321,-0.7871,0.417324
322,-0.787,0.417324
323,-0.7869,0.417324
324,-0.7868,0.417324
325,-0.7867,0.417324
326,-0.7866,0.417324
327,-0.7865,0.417324
328,-0.7864,0.414012
329,-0.7863,0.415668
330,-0.7862,0.415668
331,-0.7861,0.415668
332,-0.786,0.415668
333,-0.7859,0.415668
334,-0.7858,0.415668
335,-0.7857,0.415668
336,-0.7856,0.415668
337,-0.7855,0.415668
338,-0.7854,0.415668
339,-0.7853,0.415668
340,-0.7852,0.415668
341,-0.7851,0.415668
342,-0.785,0.415668
343,-0.7849,0.415668
344,-0.7848,0.415668
345,-0.7847,0.415668
346,-0.7846,0.415668
347,-0.7845,0.415668
348,-0.7844,0.415668
349,-0.7843,0.415668
350,-0.7842,0.415668
351,-0.7841,0.415668
352,-0.784,0.414012
353,-0.7839,0.417324
354,-0.7838,0.415668
355,-0.7837,0.415668
356,-0.7836,0.417324
357,-0.7835,0.417324
358,-0.7834,0.417324
359,-0.7833,0.417324
360,-0.7832,0.417324
361,-0.7831,0.417324
362,-0.783,0.417324
363,-0.7829,0.417324
364,-0.7828,0.417324
365,-0.7827,0.417324
366,-0.7826,0.417324
367,-0.7825,0.417324
368,-0.7824,0.417324
369,-0.7823,0.417324
370,-0.7822,0.417324
371,-0.7821,0.417324
372,-0.782,0.417324
373,-0.7819,0.417324
374,-0.7818,0.417324
375,-0.7817,0.417324
376,-0.7816,0.417324
377,-0.7815,0.417324
378,-0.7814,0.417324
379,-0.7813,0.417324
380,-0.7812,0.417324
381,-0.7811,0.417324
382,-0.781,0.417324
383,-0.7809,0.417324
384,-0.7808,0.417324
385,-0.7807,0.417324
386,-0.7806,0.417324
387,-0.7805,0.417324
388,-0.7804,0.417324
389,-0.7803,0.417324
390,-0.7802,0.417324
391,-0.7801,0.417324
392,-0.78,0.417324
393,-0.7799,0.417324
394,-0.7798,0.417324
395,-0.7797,0.417324
396,-0.7796,0.417324
397,-0.7795,0.417324
398,-0.7794,0.417324
399,-0.7793,0.417324
400,-0.7792,0.417324
401,-0.7791,0.417324
402,-0.779,0.417324
403,-0.7789,0.417324
404,-0.7788,0.417324
405,-0.7787,0.417324
406,-0.7786,0.417324
407,-0.7785,0.415668
408,-0.7784,0.415668
409,-0.7783,0.415668
410,-0.7782,0.415668
411,-0.7781,0.414012
412,-0.778,0.414012
413,-0.7779,0.414012
414,-0.7778,0.414012
415,-0.7777,0.414012
416,-0.7776,0.414012
417,-0.7775,0.414012
418,-0.7774,0.414012
419,-0.7773,0.414012
420,-0.7772,0.414012
421,-0.7771,0.414012
422,-0.777,0.414012
423,-0.7769,0.414012
424,-0.7768,0.414012
425,-0.7767,0.414012
426,-0.7766,0.414012
427,-0.7765,0.414012
428,-0.7764,0.414012
429,-0.7763,0.414012
430,-0.7762,0.414012
431,-0.7761,0.414012
432,-0.776,0.414012
433,-0.7759,0.414012
434,-0.7758,0.414012
435,-0.7757,0.414012
436,-0.7756,0.414012
437,-0.7755,0.412356
438,-0.7754,0.415668
439,-0.7753,0.415668
440,-0.7752,0.415668
441,-0.7751,0.415668
442,-0.775,0.415668
443,-0.7749,0.415668
444,-0.7748,0.415668
445,-0.7747,0.415668
446,-0.7746,0.415668
447,-0.7745,0.415668
448,-0.7744,0.415668
449,-0.7743,0.412356
450,-0.7742,0.414012
451,-0.7741,0.414012
452,-0.774,0.414012
453,-0.7739,0.414012
454,-0.7738,0.414012
455,-0.7737,0.414012
456,-0.7736,0.414012
457,-0.7735,0.414012
458,-0.7734,0.414012
459,-0.7733,0.414012
460,-0.7732,0.414012
461,-0.7731,0.414012
462,-0.773,0.414012
463,-0.7729,0.414012
464,-0.7728,0.414012
465,-0.7727,0.414012
466,-0.7726,0.414012
467,-0.7725,0.414012
468,-0.7724,0.414012
469,-0.7723,0.414012
470,-0.7722,0.414012
471,-0.7721,0.414012
472,-0.772,0.414012
473,-0.7719,0.414012
474,-0.7718,0.414012
475,-0.7717,0.414012
476,-0.7716,0.414012
477,-0.7715,0.414012
478,-0.7714,0.414012
479,-0.7713,0.415668
480,-0.7712,0.415668
481,-0.7711,0.415668
482,-0.771,0.415668
483,-0.7709,0.415668
484,-0.7708,0.415668
485,-0.7707,0.415668
486,-0.7706,0.415668
487,-0.7705,0.412356
488,-0.7704,0.414012
489,-0.7703,0.414012
490,-0.7702,0.414012
491,-0.7701,0.414012
492,-0.77,0.414012
493,-0.7699,0.414012
494,-0.7698,0.414012
495,-0.7697,0.414012
496,-0.7696,0.414012
497,-0.7695,0.414012
498,-0.7694,0.414012
499,-0.7693,0.414012
500,-0.7692,0.414012
501,-0.7691,0.414012
502,-0.769,0.414012
503,-0.7689,0.414012
504,-0.7688,0.414012
505,-0.7687,0.414012
506,-0.7686,0.414012
507,-0.7685,0.414012
508,-0.7684,0.414012
509,-0.7683,0.414012
510,-0.7682,0.414012
511,-0.7681,0.414012
512,-0.768,0.414012
513,-0.7679,0.414012
514,-0.7678,0.414012
515,-0.7677,0.414012
516,-0.7676,0.414012
517,-0.7675,0.414012
518,-0.7674,0.412356
519,-0.7673,0.414012
520,-0.7672,0.415668
521,-0.7671,0.415668
522,-0.767,0.415668
523,-0.7669,0.415668
524,-0.7668,0.415668
525,-0.7667,0.415668
526,-0.7666,0.415668
527,-0.7665,0.415668
528,-0.7664,0.415668
529,-0.7663,0.414012
530,-0.7662,0.414012
531,-0.7661,0.414012
532,-0.766,0.414012
533,-0.7659,0.414012
534,-0.7658,0.414012
535,-0.7657,0.414012
536,-0.7656,0.414012
537,-0.7655,0.414012
538,-0.7654,0.414012
539,-0.7653,0.414012
540,-0.7652,0.414012
541,-0.7651,0.414012
542,-0.765,0.414012
543,-0.7649,0.414012
544,-0.7648,0.414012
545,-0.7647,0.412356
546,-0.7646,0.415668
547,-0.7645,0.41898
548,-0.7644,0.41898
549,-0.7643,0.420636
550,-0.7642,0.422292
551,-0.7641,0.422292
552,-0.764,0.423948
553,-0.7639,0.422292
554,-0.7638,0.425604
555,-0.7637,0.425604
556,-0.7636,0.425604
557,-0.7635,0.425604
558,-0.7634,0.425604
559,-0.7633,0.428917
560,-0.7632,0.428917
561,-0.7631,0.428917
562,-0.763,0.428917
563,-0.7629,0.428917
564,-0.7628,0.428917
565,-0.7627,0.428917
566,-0.7626,0.428917
567,-0.7625,0.428917
568,-0.7624,0.428917
569,-0.7623,0.423948
570,-0.7622,0.425604
571,-0.7621,0.425604
572,-0.762,0.425604
573,-0.7619,0.425604
574,-0.7618,0.425604
575,-0.7617,0.425604
576,-0.7616,0.425604
577,-0.7615,0.425604
578,-0.7614,0.425604
579,-0.7613,0.425604
580,-0.7612,0.425604
581,-0.7611,0.425604
582,-0.761,0.428917
583,-0.7609,0.428917
584,-0.7608,0.428917
585,-0.7607,0.428917
586,-0.7606,0.428917
587,-0.7605,0.428917
588,-0.7604,0.428917
589,-0.7603,0.425604
590,-0.7602,0.425604
591,-0.7601,0.425604
592,-0.76,0.425604
593,-0.7599,0.425604
594,-0.7598,0.425604
595,-0.7597,0.425604
596,-0.7596,0.425604
597,-0.7595,0.428917
598,-0.7594,0.428917
599,-0.7593,0.428917
600,-0.7592,0.428917
601,-0.7591,0.428917
602,-0.759,0.428917
603,-0.7589,0.428917
604,-0.7588,0.428917
605,-0.7587,0.428917
606,-0.7586,0.428917
607,-0.7585,0.428917
608,-0.7584,0.428917
609,-0.7583,0.428917
610,-0.7582,0.428917
611,-0.7581,0.428917
612,-0.758,0.428917
613,-0.7579,0.428917
614,-0.7578,0.428917
615,-0.7577,0.428917
616,-0.7576,0.428917
617,-0.7575,0.428917
618,-0.7574,0.428917
619,-0.7573,0.428917
620,-0.7572,0.428917
621,-0.7571,0.428917
622,-0.757,0.428917
623,-0.7569,0.428917
624,-0.7568,0.428917
625,-0.7567,0.428917
626,-0.7566,0.428917
627,-0.7565,0.428917
628,-0.7564,0.428917
629,-0.7563,0.428917
630,-0.7562,0.428917
631,-0.7561,0.428917
632,-0.756,0.428917
633,-0.7559,0.428917
634,-0.7558,0.428917
635,-0.7557,0.428917
636,-0.7556,0.428917
637,-0.7555,0.428917
638,-0.7554,0.428917
639,-0.7553,0.428917
640,-0.7552,0.428917
641,-0.7551,0.425604
642,-0.755,0.430573
643,-0.7549,0.425604
644,-0.7548,0.428917
645,-0.7547,0.428917
646,-0.7546,0.428917
647,-0.7545,0.428917
648,-0.7544,0.428917
649,-0.7543,0.428917
650,-0.7542,0.428917
651,-0.7541,0.428917
652,-0.754,0.428917
653,-0.7539,0.425604
654,-0.7538,0.425604
655,-0.7537,0.425604
656,-0.7536,0.423948
657,-0.7535,0.428917
658,-0.7534,0.428917
659,-0.7533,0.428917
660,-0.7532,0.428917
661,-0.7531,0.428917
662,-0.753,0.428917
663,-0.7529,0.428917
664,-0.7528,0.428917
665,-0.7527,0.428917
666,-0.7526,0.428917
667,-0.7525,0.428917
668,-0.7524,0.428917
669,-0.7523,0.428917
670,-0.7522,0.428917
671,-0.7521,0.428917
672,-0.752,0.428917
673,-0.7519,0.428917
674,-0.7518,0.428917
675,-0.7517,0.428917
676,-0.7516,0.428917
677,-0.7515,0.428917
678,-0.7514,0.428917
679,-0.7513,0.428917
680,-0.7512,0.428917
681,-0.7511,0.425604
682,-0.751,0.428917
683,-0.7509,0.430573
684,-0.7508,0.430573
685,-0.7507,0.425604
686,-0.7506,0.428917
687,-0.7505,0.428917
688,-0.7504,0.428917
689,-0.7503,0.428917
690,-0.7502,0.428917
691,-0.7501,0.428917
692,-0.75,0.428917
693,-0.7499,0.428917
694,-0.7498,0.428917
695,-0.7497,0.428917
696,-0.7496,0.428917
697,-0.7495,0.428917
698,-0.7494,0.428917
699,-0.7493,0.428917
700,-0.7492,0.428917
701,-0.7491,0.428917
702,-0.749,0.428917
703,-0.7489,0.428917
704,-0.7488,0.428917
705,-0.7487,0.428917
706,-0.7486,0.428917
707,-0.7485,0.428917
708,-0.7484,0.428917
709,-0.7483,0.428917
710,-0.7482,0.428917
711,-0.7481,0.428917
712,-0.748,0.428917
713,-0.7479,0.428917
714,-0.7478,0.428917
715,-0.7477,0.428917
716,-0.7476,0.428917
717,-0.7475,0.428917
718,-0.7474,0.428917
719,-0.7473,0.428917
