Sample,Time(S),CH1(V)
0,0,0.00173885
1,0.001,0.00173885
2,0.002,0.00173885
3,0.003,0.00173885
4,0.004,0.00173885
5,0.005,0.00173885
6,0.006,0.00173885
7,0.007,0.00173885
8,0.008,0.00173885
9,0.009,0.00173885
10,0.01,0.00173885
11,0.011,0.00173885
12,0.012,0.00173885
13,0.013,0.00173885
14,0.014,0.00173885
15,0.015,0.00173885
16,0.016,0.00173885
17,0.017,0.00173885
18,0.018,0.00173885
19,0.019,0.00173885
20,0.02,0.00173885
21,0.021,0.00173885
22,0.022,0.00173885
23,0.023,0.00173885
24,0.024,0.00173885
25,0.025,0.00173885
26,0.026,0.00173885
27,0.027,0.00173885
28,0.028,0.00173885
29,0.029,0.00173885
30,0.03,0.00173885
31,0.031,0.00173885
32,0.032,0.00173885
33,0.033,0.00173885
34,0.034,0.00173885
35,0.035,0.00173885
36,0.036,0.00173885
37,0.037,0.00173885
38,0.038,0.00173885
39,0.039,0.00173885
40,0.04,0.00173885
41,0.041,0.00173885
42,0.042,0.00173885
43,0.043,0.00173885
44,0.044,0.00173885
45,0.045,0.00173885
46,0.046,0.00173885
47,0.047,0.00173885
48,0.048,0.00173885
49,0.049,0.00173885
50,0.05,0.00173885
51,0.051,0.00173885
52,0.052,0.00173885
53,0.053,0.00173885
54,0.054,0.00173885
55,0.055,0.00173885
56,0.056,0.00173885
57,0.057,0.00173885
58,0.058,0.00173885
59,0.059,0.00173885
60,0.06,0.00173885
61,0.061,0.00173885
62,0.062,0.00173885
63,0.063,0.00173885
64,0.064,0.00173885
65,0.065,0.00173885
66,0.066,0.00173885
67,0.067,0.00173885
68,0.068,0.00173885
69,0.069,0.00173885
70,0.07,0.00173885
71,0.071,0.00173885
72,0.072,0.00173885
73,0.073,0.00173885
74,0.074,0.00173885
75,0.075,0.00173885
76,0.076,0.00173885
77,0.077,0.00173885
78,0.078,0.00173885
79,0.079,0.00173885
80,0.08,0.00173885
81,0.081,0.00173885
82,0.082,0.00173885
83,0.083,0.00173885
84,0.084,0.00173885
85,0.085,0.00173885
86,0.086,0.00173885
87,0.087,0.00173885
88,0.088,0.00173885
89,0.089,0.00173885
90,0.09,0.00173885
91,0.091,0.00173885
92,0.092,0.00173885
93,0.093,0.00173885
94,0.094,0.00173885
95,0.095,0.00173885
96,0.096,0.00173885
97,0.097,0.00173885
98,0.098,0.00173885
99,0.099,0.00173885
100,0.1,0.00173885
101,0.101,0.00173885
102,0.102,0.00173885
103,0.103,0.00173885
104,0.104,0.00173885
105,0.105,0.00173885
106,0.106,0.00173885
107,0.107,0.00173885
108,0.108,0.00173885
109,0.109,0.00173885
110,0.11,0.00173885
111,0.111,0.00173885
112,0.112,0.00173885
113,0.113,0.00173885
114,0.114,0.00173885
115,0.115,0.00173885
116,0.116,0.00173885
117,0.117,0.00173885
118,0.118,0.00173885
119,0.119,0.00173885
120,0.12,0.00173885
121,0.121,0.00173885
122,0.122,0.00173885
123,0.123,0.00173885
124,0.124,0.00173885
125,0.125,0.00173885
126,0.126,0.00173885
127,0.127,0.00173885
128,0.128,0.00173885
129,0.129,0.00173885
130,0.13,0.00173885
131,0.131,0.00173885
132,0.132,0.00173885
133,0.133,0.00173885
134,0.134,0.00173885
135,0.135,0.00173885
136,0.136,0.00173885
137,0.137,0.00173885
138,0.138,0.00173885
139,0.139,0.00173885
140,0.14,0.00173885
141,0.141,0.00173885
142,0.142,0.00173885
143,0.143,0.00173885
144,0.144,0.00173885
145,0.145,0.00173885
146,0.146,0.00173885
147,0.147,0.00173885
148,0.148,0.00173885
149,0.149,0.00173885
150,0.15,0.00173885
151,0.151,0.00173885
152,0.152,0.00173885
153,0.153,0.00173885
154,0.154,0.00173885
155,0.155,0.00173885
156,0.156,0.00173885
157,0.157,0.00173885
158,0.158,0.00173885
159,0.159,0.00173885
160,0.16,0.00173885
161,0.161,0.00173885
162,0.162,0.00173885
163,0.163,0.00173885
164,0.164,0.00173885
165,0.165,0.00173885
166,0.166,0.00173885
167,0.167,0.00173885
168,0.168,0.00173885
169,0.169,0.00173885
170,0.17,0.00173885
171,0.171,0.00173885
172,0.172,0.00173885
173,0.173,0.00173885
174,0.174,0.00173885
175,0.175,0.00173885
176,0.176,0.00173885
177,0.177,0.00173885
178,0.178,0.00173885
179,0.179,0.00173885
180,0.18,0.00173885
181,0.181,0.00173885
182,0.182,0.00173885
183,0.183,0.00173885
184,0.184,0.00173885
185,0.185,0.00173885
186,0.186,0.00173885
187,0.187,0.00173885
188,0.188,0.00173885
189,0.189,0.00173885
190,0.19,0.00173885
191,0.191,0.00173885
192,0.192,0.00173885
193,0.193,0.00173885
194,0.194,0.00173885
195,0.195,0.00173885
196,0.196,0.00173885
197,0.197,0.00173885
198,0.198,0.00173885
199,0.199,0.00173885
200,0.2,0.00173885
201,0.201,0.00173885
202,0.202,0.00173885
203,0.203,0.00173885
204,0.204,0.00173885
205,0.205,0.00173885
206,0.206,0.00173885
207,0.207,0.00173885
208,0.208,0.00173885
209,0.209,0.00173885
210,0.21,0.00173885
211,0.211,0.00173885
212,0.212,0.00173885
213,0.213,0.00173885
214,0.214,0.00173885
215,0.215,0.00173885
216,0.216,0.00173885
217,0.217,0.00173885
218,0.218,0.00173885
219,0.219,0.00173885
220,0.22,0.00173885
221,0.221,0.00173885
222,0.222,0.00173885
223,0.223,0.00173885
224,0.224,0.00173885
225,0.225,0.00173885
226,0.226,0.00173885
227,0.227,0.00173885
228,0.228,0.00173885
229,0.229,0.00173885
230,0.23,0.00173885
231,0.231,0.00173885
232,0.232,0.00173885
233,0.233,0.00173885
234,0.234,0.00173885
235,0.235,0.00173885
236,0.236,0.00173885
237,0.237,0.00173885
238,0.238,0.00173885
239,0.239,0.00173885
240,0.24,0.00173885
241,0.241,0.00173885
242,0.242,0.00173885
243,0.243,0.00173885
244,0.244,0.00173885
245,0.245,0.00173885
246,0.246,0.00173885
247,0.247,0.00173885
248,0.248,0.00173885
249,0.249,0.00173885
250,0.25,0.00173885
251,0.251,0.00173885
252,0.252,0.00173885
253,0.253,0.00173885
254,0.254,0.00173885
255,0.255,0.00173885
256,0.256,0.00173885
257,0.257,0.00173885
258,0.258,0.00173885
259,0.259,0.00173885
260,0.26,0.00173885
261,0.261,0.00173885
262,0.262,0.00173885
263,0.263,0.00173885
264,0.264,0.00173885
265,0.265,0.00173885
266,0.266,0.00173885
267,0.267,0.00173885
268,0.268,0.00173885
269,0.269,0.00173885
270,0.27,0.00173885
271,0.271,0.00173885
272,0.272,0.00173885
273,0.273,0.00173885
274,0.274,0.00173885
275,0.275,0.00173885
276,0.276,0.00173885
277,0.277,0.00173885
278,0.278,0.00173885
279,0.279,0.00173885
280,0.28,0.00173885
281,0.281,0.00173885
282,0.282,0.00173885
283,0.283,0.00173885
284,0.284,0.00173885
285,0.285,0.00173885
286,0.286,0.00173885
287,0.287,0.00173885
288,0.288,0.00173885
289,0.289,0.00173885
290,0.29,0.00173885
291,0.291,0.00173885
292,0.292,0.00173885
293,0.293,0.00173885
294,0.294,0.00173885
295,0.295,0.00173885
296,0.296,0.00173885
297,0.297,0.00173885
298,0.298,0.00173885
299,0.299,0.00173885
300,0.3,0.00173885
301,0.301,0.00173885
302,0.302,0.00173885
303,0.303,0.00173885
304,0.304,0.00173885
305,0.305,0.00173885
306,0.306,0.00173885
307,0.307,0.00173885
308,0.308,0.00173885
309,0.309,0.00173885
310,0.31,0.00173885
311,0.311,0.00173885
312,0.312,0.00173885
313,0.313,0.00173885
314,0.314,0.00173885
315,0.315,0.00173885
316,0.316,0.00173885
