Sample,Time(S),CH1(V),CH2(V)
0,-8.192,0.113025,-0.0732059
1,-8.191,0.113025,-0.0732059
2,-8.19,0.113025,-0.0732059
3,-8.189,0.113025,-0.0732059
4,-8.188,0.113025,-0.0732059
5,-8.187,0.113025,-0.0732059
6,-8.186,0.113025,-0.0732059
7,-8.185,0.113025,-0.0732059
8,-8.184,0.113025,-0.0732059
9,-8.183,0.113025,-0.0732059
10,-8.182,0.113025,-0.0732059
11,-8.181,0.113025,-0.0732059
12,-8.18,0.113025,-0.0732059
13,-8.179,0.113025,-0.0732059
14,-8.178,0.113025,-0.0732059
15,-8.177,0.113025,-0.0732059
16,-8.176,0.113025,-0.0732059
17,-8.175,0.113025,-0.0732059
18,-8.174,0.113025,-0.0732059
19,-8.173,0.113025,-0.0732059
20,-8.172,0.113025,-0.0732059
21,-8.171,0.113025,-0.0732059
22,-8.17,0.113025,-0.0732059
23,-8.169,0.113025,-0.0732059
24,-8.168,0.113025,-0.0732059
25,-8.167,0.113025,-0.0732059
26,-8.166,0.113025,-0.0732059
27,-8.165,0.113025,-0.0732059
28,-8.164,0.113025,-0.0732059
29,-8.163,0.113025,-0.0732059
30,-8.162,0.113025,-0.0732059
31,-8.161,0.113025,-0.0732059
32,-8.16,0.113025,-0.0732059
33,-8.159,0.113025,-0.0732059
34,-8.158,0.113025,-0.0732059
35,-8.157,0.113025,-0.0732059
36,-8.156,0.113025,-0.0732059
37,-8.155,0.113025,-0.0732059
38,-8.154,0.113025,-0.0732059
39,-8.153,0.113025,-0.0732059
40,-8.152,0.113025,-0.0732059
41,-8.151,0.113025,-0.0732059
42,-8.15,0.113025,-0.0732059
43,-8.149,0.113025,-0.0732059
44,-8.148,0.113025,-0.0732059
45,-8.147,0.113025,-0.0732059
46,-8.146,0.113025,-0.0732059
47,-8.145,0.113025,-0.0732059
48,-8.144,0.113025,-0.0732059
49,-8.143,0.113025,-0.0732059
50,-8.142,0.113025,-0.0732059
51,-8.141,0.113025,-0.0732059
52,-8.14,0.113025,-0.0732059
53,-8.139,0.113025,-0.0732059
54,-8.138,0.113025,-0.0732059
55,-8.137,0.113025,-0.0732059
56,-8.136,0.113025,-0.0732059
57,-8.135,0.113025,-0.0732059
58,-8.134,0.113025,-0.0732059
59,-8.133,0.113025,-0.0732059
60,-8.132,0.113025,-0.0732059
61,-8.131,0.113025,-0.0732059
62,-8.13,0.113025,-0.0732059
63,-8.129,0.113025,-0.0732059
64,-8.128,0.113025,-0.0732059
65,-8.127,0.113025,-0.0732059
66,-8.126,0.113025,-0.0732059
67,-8.125,0.113025,-0.0732059
68,-8.124,0.113025,-0.0732059
69,-8.123,0.113025,-0.0732059
70,-8.122,0.113025,-0.0732059
71,-8.121,0.113025,-0.0732059
72,-8.12,0.113025,-0.0732059
73,-8.119,0.113025,-0.0732059
74,-8.118,0.113025,-0.0732059
75,-8.117,0.113025,-0.0732059
76,-8.116,0.113025,-0.0732059
77,-8.115,0.113025,-0.0732059
78,-8.114,0.113025,-0.0732059
79,-8.113,0.113025,-0.0732059
80,-8.112,0.113025,-0.0732059
81,-8.111,0.113025,-0.0732059
82,-8.11,0.113025,-0.0732059
83,-8.109,0.113025,-0.0732059
84,-8.108,0.113025,-0.0732059
85,-8.107,0.113025,-0.0732059
86,-8.106,0.113025,-0.0732059
87,-8.105,0.113025,-0.0732059
88,-8.104,0.113025,-0.0732059
89,-8.103,0.113025,-0.0732059
90,-8.102,0.113025,-0.0732059
91,-8.101,0.113025,-0.0732059
92,-8.1,0.113025,-0.0732059
93,-8.099,0.113025,-0.0732059
94,-8.098,0.113025,-0.0732059
95,-8.097,0.113025,-0.0732059
96,-8.096,0.113025,-0.0732059
97,-8.095,0.113025,-0.0732059
98,-8.094,0.113025,-0.0732059
99,-8.093,0.113025,-0.0732059
100,-8.092,0.113025,-0.0732059
101,-8.091,0.113025,-0.0732059
102,-8.09,0.113025,-0.0732059
103,-8.089,0.113025,-0.0732059
104,-8.088,0.113025,-0.0732059
105,-8.087,0.113025,-0.0732059
106,-8.086,0.113025,-0.0732059
107,-8.085,0.113025,-0.0732059
108,-8.084,0.113025,-0.0732059
109,-8.083,0.113025,-0.0732059
110,-8.082,0.113025,-0.0732059
111,-8.081,0.113025,-0.0732059
112,-8.08,0.113025,-0.0732059
113,-8.079,0.113025,-0.0732059
114,-8.078,0.113025,-0.0732059
115,-8.077,0.113025,-0.0732059
116,-8.076,0.113025,-0.0732059
117,-8.075,0.113025,-0.0732059
118,-8.074,0.113025,-0.0732059
119,-8.073,0.113025,-0.0732059
120,-8.072,0.113025,-0.0732059
121,-8.071,0.113025,-0.0732059
122,-8.07,0.113025,-0.0732059
123,-8.069,0.113025,-0.0732059
124,-8.068,0.113025,-0.0732059
125,-8.067,0.113025,-0.0732059
126,-8.066,0.113025,-0.0732059
127,-8.065,0.113025,-0.0732059
128,-8.064,0.113025,-0.0732059
129,-8.063,0.113025,-0.0732059
130,-8.062,0.113025,-0.0732059
131,-8.061,0.113025,-0.0732059
132,-8.06,0.113025,-0.0732059
133,-8.059,0.113025,-0.0732059
134,-8.058,0.113025,-0.0732059
135,-8.057,0.113025,-0.0732059
136,-8.056,0.113025,-0.0732059
137,-8.055,0.113025,-0.0732059
138,-8.054,0.113025,-0.0732059
139,-8.053,0.113025,-0.0732059
140,-8.052,0.113025,-0.0732059
141,-8.051,0.113025,-0.0732059
142,-8.05,0.113025,-0.0732059
143,-8.049,0.113025,-0.0732059
144,-8.048,0.113025,-0.0732059
145,-8.047,0.113025,-0.0732059
146,-8.046,0.113025,-0.0732059
147,-8.045,0.113025,-0.0732059
148,-8.044,0.113025,-0.0732059
149,-8.043,0.113025,-0.0732059
150,-8.042,0.113025,-0.0732059
