Sample,Time(S),CH1(V),CH2(V)
0,-8,0.113025,-0.0732059
1,-7.999,0.113025,-0.0732059
2,-7.998,0.113025,-0.0732059
3,-7.997,0.113025,-0.0732059
4,-7.996,0.113025,-0.0732059
5,-7.995,0.113025,-0.0732059
6,-7.994,0.113025,-0.0732059
7,-7.993,0.113025,-0.0732059
8,-7.992,0.113025,-0.0732059
9,-7.991,0.113025,-0.0732059
10,-7.99,0.113025,-0.0732059
11,-7.989,0.113025,-0.0732059
12,-7.988,0.113025,-0.0732059
13,-7.987,0.113025,-0.0732059
14,-7.986,0.113025,-0.0732059
15,-7.985,0.113025,-0.0732059
16,-7.984,0.113025,-0.0732059
17,-7.983,0.113025,-0.0732059
18,-7.982,0.113025,-0.0732059
19,-7.981,0.113025,-0.0732059
20,-7.98,0.113025,-0.0732059
21,-7.979,0.113025,-0.0732059
22,-7.978,0.113025,-0.0732059
23,-7.977,0.113025,-0.0732059
24,-7.976,0.113025,-0.0732059
25,-7.975,0.113025,-0.0732059
26,-7.974,0.113025,-0.0732059
27,-7.973,0.113025,-0.0732059
28,-7.972,0.113025,-0.0732059
29,-7.971,0.113025,-0.0732059
30,-7.97,0.113025,-0.0549044
31,-7.969,0.113025,-0.0549044
32,-7.968,0.113025,-0.0732059
33,-7.967,0.113025,-0.0732059
34,-7.966,0.113025,-0.0366029
35,-7.965,0.113025,-0.0732059
36,-7.964,0.113025,-0.0732059
37,-7.963,0.113025,-0.0732059
38,-7.962,0.113025,-0.0732059
39,-7.961,0.113025,-0.0732059
40,-7.96,0.113025,-0.0732059
41,-7.959,0.113025,-0.0732059
42,-7.958,0.113025,-0.0732059
43,-7.957,0.113025,-0.0732059
44,-7.956,0.113025,-0.0732059
45,-7.955,0.113025,-0.0732059
46,-7.954,0.113025,-0.0732059
47,-7.953,0.113025,-0.0732059
48,-7.952,0.113025,-0.0732059
49,-7.951,0.113025,-0.0732059
50,-7.95,0.113025,-0.0732059
51,-7.949,0.113025,-0.0732059
52,-7.948,0.113025,-0.0549044
53,-7.947,0.113025,-0.0549044
54,-7.946,0.113025,-0.0366029
55,-7.945,0.113025,-0.0732059
56,-7.944,0.113025,-0.0732059
57,-7.943,0.113025,-0.0732059
58,-7.942,0.113025,-0.0732059
59,-7.941,0.113025,-0.0732059
60,-7.94,0.113025,-0.0732059
61,-7.939,0.113025,-0.0732059
62,-7.938,0.113025,-0.0732059
63,-7.937,0.113025,-0.0732059
64,-7.936,0.113025,-0.0732059
65,-7.935,0.113025,-0.0732059
66,-7.934,0.113025,-0.0732059
67,-7.933,0.113025,-0.0732059
68,-7.932,0.113025,-0.0732059
69,-7.931,0.113025,-0.0732059
70,-7.93,0.113025,-0.0732059
71,-7.929,0.113025,-0.0732059
72,-7.928,0.113025,-0.0732059
73,-7.927,0.113025,-0.0732059
74,-7.926,0.113025,-0.0732059
75,-7.925,0.113025,-0.0732059
